"V1" "V2" "V3" "V4"
0 1.79846504264741e-08 3.05902320501826e-07 2.73627821645731e-06
1 3.85385366281589e-07 4.58853480752739e-06 1.08868001812423e-05
2 4.04654634595668e-06 3.44140110564554e-05 3.938028650424e-05
3 2.77477463722745e-05 0.000172070055282277 0.000129507855435701
4 0.000139729722803239 0.000645262707308539 0.000387214821862407
5 0.000550934335624197 0.00193578812192562 0.00105255901397859
6 0.00177086036450635 0.00483947030481404 0.00260123481219662
7 0.00477048098193546 0.0103702935103158 0.00584455272645882
8 0.01098914369053 0.0194443003318421 0.0119388260679352
9 0.0219782873810599 0.0324071672197369 0.0221722920371498
10 0.0386189906838624 0.0486107508296054 0.0374367531609167
11 0.0601854400267986 0.0662873874949164 0.0574677749639413
12 0.0838297200373265 0.0828592343686454 0.0802027407817277
13 0.105017451475332 0.0956068088868986 0.101763645833827
14 0.118948337895529 0.102435866664534 0.117390979586806
15 0.122346861835401 0.102435866664534 0.123116260614915
16 0.114700182970689 0.0960336249980008 0.117390979586806
17 0.0983144425463047 0.0847355514688242 0.101763645833827
18 0.077247062000668 0.0706129595573535 0.0802027407817277
19 0.0557572778350687 0.0557470733347529 0.0574677749639413
20 0.0370387631332957 0.0418103050010647 0.0374367531609167
21 0.022676793755079 0.029864503572189 0.0221722920371498
22 0.0128109159525446 0.0203621615264925 0.0119388260679352
23 0.00668395614915368 0.013279670560756 0.00584455272645882
24 0.00322262171477052 0.00829979410047247 0.00260123481219662
25 0.00143636853572629 0.00497987646028349 0.00105255901397859
26 0.000591910110876221 0.00287300565016355 0.000387214821862407
27 0.000225489566048084 0.00159611425009086 0.000129507855435701
28 7.93815309046827e-05 0.000855061205405819 3.938028650424e-05
29 2.58087735946259e-05 0.000442273037278872 1.08868001812423e-05
30 7.74263207838779e-06 0.000221136518639436 2.73627821645731e-06
31 2.14081992950813e-06 0.000107001541277146 6.25257449851914e-07
32 5.44762214205196e-07 5.01569724736624e-05 1.29896101704766e-07
33 1.27347011112902e-07 2.27986238516646e-05 2.4534204515737e-08
34 2.72886452384793e-08 1.00582164051462e-05 4.21295155788554e-09
35 5.34634682223265e-09 4.31066417363408e-06 6.57717762227965e-10
36 9.54704789684409e-10 1.79611007234754e-06 9.3353648577114e-11
37 1.54816992921795e-10 7.28152732032785e-07 1.20465210236737e-11
38 2.26987320449248e-11 2.87428710012941e-07 1.41328780083426e-12
39 2.99323939053954e-12 1.10549503851131e-07 1.50743362464672e-13
40 3.52774642456447e-13 4.14560639441744e-08 1.46178805006965e-14
41 3.68753981661792e-14 1.51668526625028e-08 1.28875165771897e-15
42 3.38651615811851e-15 5.41673309375102e-09 1.03298184177064e-16
43 2.7002122190978e-16 1.88955805595965e-09 7.52756923374184e-18
44 1.84105378574851e-17 6.44167519077157e-10 4.98718467660456e-19
45 1.05203073471343e-18 2.1472250635905e-10 3.00396427378992e-20
46 4.90076429214327e-20 7.00182085953425e-11 1.64502573617114e-21
47 1.78751281172399e-21 2.23462367857476e-11 8.19010087936481e-23
48 4.78798074568928e-23 6.98319899554613e-12 3.70718642511799e-24
49 8.37547652307157e-25 2.13771397822841e-12 1.52559136534448e-25
50 7.17897987691846e-27 6.41314193468519e-13 5.70782485901381e-27
